ticker,name,sector,earnings_date,session,implied_move_mid,implied_move_ask,fair_move,ci_low,ci_high,edge,z,score,structure,detail,entry_side,entry_price,max_gain,max_loss,spread_pct,spread_cost_pct_of_edge,open_interest,conf_mult,n_events,screened,screen_reason,flags,spot,expiry,atm_strike,straddle_bid,straddle_mid,straddle_ask
NOW,ServiceNow,Information Technology,2026-07-22,AMC,0.1311391711081747,0.13369232311205068,0.08226224690951144,0.06831194114850418,0.09621255267051869,0.5941598489575409,4.490271907021197,3.741893255850997,iron fly,"short 108 straddle @ bid, long 99P / 117C @ ask",credit,654.9999999999999,654.9999999999999,245.0000000000001,0.03893805309734518,10.447269527429869,752,0.8333333333333333,12,False,,,107.70999908447266,2026-07-24,108.0,13.85,14.125,14.4
INTC,Intel,Information Technology,2026-07-23,AMC,0.1586398450560494,0.16159869438994987,0.0963994450649166,0.07723811248885587,0.11556077764097733,0.6456510195594936,4.162930543165526,3.3823810663219893,iron fly,"short 110 straddle @ bid, long 100P / 120C @ ask",credit,760.0000000000001,760.0000000000001,239.99999999999986,0.03730272596843607,9.507809507400411,2349,0.8124999999999999,12,False,,,109.83999633789062,2026-07-24,110.0,17.1,17.425,17.75
BAC,Bank of America,Financials,2026-07-14,BMO,0.03703703817356867,0.037874980213694655,0.027275569507530295,0.02319022497105897,0.03136091404400162,0.3578832208560634,3.0622382349177406,2.5518651957647838,iron fly,"short 60 straddle @ bid, long 56P / 64C @ ask",credit,193.00000000000003,193.00000000000003,206.99999999999997,0.04524886877828038,17.16835998339701,47592,0.8333333333333333,12,False,,,59.66999816894531,2026-07-17,60.0,2.16,2.21,2.26
GOOGL,Alphabet Inc. (Class A),Communication Services,2026-07-22,AMC,0.07104261302517396,0.07335237285751954,0.05325749864571139,0.04428896888964256,0.062226028401780216,0.33394573218272505,2.5414870897089226,2.1179059080907687,iron fly,"short 357.5 straddle @ bid, long 350P / 365C @ ask",credit,509.9999999999998,509.9999999999998,240.00000000000023,0.06502463054187214,25.974079031088706,782,0.8333333333333333,12,False,,,357.17999267578125,2026-07-24,357.5,24.549999999999997,25.375,26.200000000000003
GOOG,Alphabet Inc. (Class C),Communication Services,2026-07-22,AMC,0.06978283549329388,0.07182491645122074,0.05272609442365679,0.04380190873951748,0.0616502801077961,0.32349714607316304,2.449514177377313,2.041261814481094,iron fly,"short 355 straddle @ bid, long 347.5P / 362.5C @ ask",credit,530.0000000000001,530.0000000000001,219.99999999999994,0.05852674066599392,23.94456185492546,780,0.8333333333333333,12,False,,,355.0299987792969,2026-07-24,355.0,24.05,24.775,25.5
HCA,HCA Healthcare,Health Care,2026-07-24,BMO,0.1259253805089956,0.1320740807291614,0.04936748730468374,0.04356728522131336,0.055167689388054116,1.5507755687830689,16.916065081931173,1.6519594806573443,no affordable structure,,,,,,0.09765625,16.062877288842365,624,0.8333333333333333,12,False,,wide market,406.5899963378906,2026-08-21,405.0,48.7,51.2,53.7
C,Citigroup,Financials,2026-07-14,BMO,0.045493290045002535,0.047588609414756754,0.030952698622734566,0.02681679193073333,0.0350886053147358,0.46976813232006837,4.5057162442322,1.406204376899794,iron fly,"short 141 straddle @ bid, long 135P / 147C @ ask",credit,388.99999999999994,388.99999999999994,211.00000000000003,0.09211553473848569,28.82027709746899,828,0.7916666666666665,12,False,,wide market,140.7899932861328,2026-07-17,141.0,6.109999999999999,6.404999999999999,6.7
NFLX,Netflix,Communication Services,2026-07-16,AMC,0.07871064173115395,0.07973285785753258,0.07012785729341682,0.05936868090645518,0.08088703368037846,0.12238766118044268,1.0223548847785175,0.8519624039820979,no trade,,,,,,0.025974025974026038,23.820151462364684,4641,0.8333333333333333,12,False,,,73.37000274658203,2026-07-17,73.0,5.699999999999999,5.7749999999999995,5.85
GE,GE Aerospace,Industrials,2026-07-16,BMO,0.05427672946892855,0.0567818092905714,0.0528237219816069,0.04566568845576354,0.05998175550745025,0.027506722980020007,0.2601516728062589,0.08338194641226411,no trade,,,,,,0.09230769230769216,344.8130644199907,1200,0.8333333333333333,12,False,,wide market,359.2699890136719,2026-07-17,360.0,18.6,19.5,20.4
ABT,Abbott Laboratories,Health Care,2026-07-16,BMO,0.05402959633249735,0.057489619742952844,0.04816924761598279,0.041913161440962236,0.054425333791003346,0.12166162036066482,1.2005306041137422,0.0,screened out,,,,,,0.1280788177339902,118.08250934641805,786,0.8333333333333333,12,True,spread > 10%,spread > 10%,93.93000030517578,2026-07-17,94.0,4.75,5.075,5.4
