ticker,portfolio,earnings_date,session,status,sources
AMD,John,2026-08-04,AMC,reported,"yfinance,nasdaq"
ACHR,John,2026-08-10,AMC,reported,"yfinance,nasdaq"
QBTS,John,2026-08-06,BMO,reported,"yfinance,nasdaq"
DSP,John,2026-08-10,AMC,reported,"yfinance,nasdaq"
WMT,John,2026-08-20,BMO,reported,"yfinance,nasdaq"
RXRX,John,2026-08-05,BMO,reported,"yfinance,nasdaq"
NVDA,PaulMeme,2026-08-26,AMC,reported,"yfinance,nasdaq (re-resolved post-wipe)"
GME,PaulMeme,2026-09-08,AMC,confirmed,"yfinance,nasdaq"
LULU,PaulMeme,2026-09-03,AMC,reported,"yfinance,nasdaq"
BBWI,PaulMeme,2026-08-26,BMO,reported,"yfinance,nasdaq (re-resolved post-wipe)"
META,PaulMeme,2026-07-29,AMC,reported,"yfinance,nasdaq"
