ticker,market_cap,net_debt,owner_earnings_norm,oe_yield,t10,dcf_growth_used,value_oe_yield,value_dcf,value_dcf_low,value_dcf_high,value_epv,value_conservative,implied_growth,margin_of_safety,years_of_data,latest_fy_end,roic_median_10y,roic_latest,roic_trend,gross_margin,gm_sigma_10y,gm_trend,op_margin,om_sigma_10y,fcf_ni_10y,incremental_roic_5y,rev_cagr_10y,rev_cagr_5y,rev_consistency,rev_drawdown_2020,nd_ebitda,interest_coverage,altman_z_coarse,share_cagr_10y,op_income_derived,sbc_fcf_10y,buyback_timing,dividend_years_10y,buyback_years_10y,owner_earnings,owner_earnings_3y_avg,maint_capex_proxy,moat_flag,structural_decline,leverage,dilution,accruals,altman_distress,late_filing,auditor_change,restatement,going_concern,eject,eject_reasons,demote_count,demote_reasons,needs_human_review,rank_score,verdict
LEN,20300232807.671005,2118690000.0,3319862666.6666665,0.14808305890284437,0.045,0.1,36938517843.13725,62918165894.54257,57704168167.69624,62918165894.54257,33198626666.666664,33198626666.666664,-0.1,0.3885219105146416,11,2025-11-30,0.18332530823894747,0.08756087012986527,-0.0036810098947009954,,,,0.08230814146714649,0.034512691797884854,0.7585653841554433,-0.4213112153372153,0.13692715789120302,0.08737305172284682,0.9,0.010300877002920261,0.718645072728093,,4.553016119579094,0.00908008481816669,True,0.05971907228343319,0.07408337102704543,10,10,2078179000.0,3319862666.6666665,"min(depreciation & amortization, capex)",True,False,False,False,False,False,False,False,False,False,False,,0,,substitution risk unassessed (cannot be automated),0.3885219105146416,buy candidate
MTG,5951336012.436584,-368989000.0,756902333.3333334,0.13558854934081935,0.045,0.01543413514151859,9273722333.333334,9917017341.478268,9076747351.620327,10830145309.077797,7569023333.333333,7569023333.333333,-0.09867248016638763,0.21372471052805342,11,2025-12-31,0.1436895850104293,0.1604368684883438,0.0021094713400316403,,,,0.7944227099393888,0.14433862547091206,0.8475139775667393,,0.01543413514151859,0.0024051228086452436,0.6,-0.012216870665589186,-0.379974441065649,27.08030222172289,6.194408300541131,-0.06653750389244084,True,0.03536571337238538,-0.22682030939154818,7,9,744271000.0,756902333.3333334,"min(depreciation & amortization, capex)",True,False,False,False,False,False,False,False,False,False,False,,0,,substitution risk unassessed (cannot be automated),0.21372471052805342,watch (needs price)
HRB,5018436614.472073,509921000.0,636164000.0,0.11507287414523565,0.045,0.020220699786221097,6974361352.941177,8513020230.381235,7792547022.69285,9295836389.795542,6361640000.0,6361640000.0,-0.09794801115549359,0.21114105569128827,11,2025-06-30,1.119496787080383,1.119496787080383,-0.023189868211191574,0.44533002569798685,0.03174965540469438,-0.0009724655006461551,0.22853420437942618,0.060796229928837243,1.16444908525008,,0.020220699786221097,0.07336882791265364,0.6,-0.14706898262001022,0.5222764950432379,11.003494936822296,1.5376258336378896,-0.06779718538568691,True,0.050307713590653176,,10,0,640566000.0,636164000.0,"min(depreciation & amortization, capex)",True,False,False,False,False,False,False,False,False,False,False,,0,,substitution risk unassessed (cannot be automated),0.21114105569128827,watch (needs price)
KBH,3452415981.2927246,-230443000.0,558309666.6666666,0.17328192070768417,0.045,0.07477795905457696,6798792019.607843,9486732823.331757,8695065908.172794,10345301999.00244,5583096666.666666,5583096666.666666,-0.1,0.38163062769358136,11,2025-11-30,0.1435606528376922,,0.03303560955023156,,,,,0.015963515844351055,0.5829383760986074,,0.07477795905457696,0.08313606342082092,0.7,-0.08117582637471399,,,,-0.03878375728740857,False,0.11460052143983347,0.3137368254038185,10,7,428789000.0,558309666.6666666,"min(depreciation & amortization, capex)",True,False,False,False,True,False,False,False,False,False,False,,1,accruals,substitution risk unassessed (cannot be automated),0.19081531384679068,watch (needs price)
ACGL,35309310910.278076,-993000000.0,4335666666.666667,0.12634419468929836,0.045,0.1,52000843137.25491,82169722662.25424,75360357813.7193,82169722662.25424,43356666666.666664,43356666666.666664,-0.0909084632280864,0.1856082668498944,11,2025-12-31,0.13324683973529347,0.19494237388803673,0.012397893262756216,,,,0.2662953484871293,0.05222797231808042,1.577786127243631,0.26569064810496484,0.17607909997985338,0.18556783699532264,0.9,0.22849401390448443,-0.18711136235161108,35.858108108108105,2.0245185053924097,0.0005178827639784611,True,0.02609964304904102,0.5476346454917997,0,8,4355000000.0,4335666666.666667,"min(depreciation & amortization, capex)",True,False,False,False,False,False,False,False,False,False,False,,0,,substitution risk unassessed (cannot be automated),0.1856082668498944,watch (needs price)
BBWI,4097751622.582054,2939000000.0,799333333.3333334,0.11359408093475201,0.045,0.0,6464921568.627453,9781678679.051006,8949844955.781364,10686113546.327255,7993333333.333333,6464921568.627453,-0.1,0.36615601920565377,11,2026-01-31,0.4997237334821343,0.4997237334821343,0.027839346858345326,0.4373885612398848,0.034529655187914475,0.004395584790346889,0.1544369770950487,0.04584386248863051,1.1761756184533096,,-0.049818027079998384,0.025324201167002514,0.5,-0.5916748507970084,2.1297101449275364,4.079710144927536,,-0.03452955501868327,False,0.0688773093320701,0.17829993089149965,10,8,666000000.0,799333333.3333334,"min(depreciation & amortization, capex)",True,True,False,False,False,False,False,False,False,False,False,,1,structural_decline,substitution risk unassessed (cannot be automated),0.18307800960282689,watch (needs price)
LULU,13542440503.25734,-1807202000.0,1647996333.3333333,0.1404314307609428,0.045,0.1,21195394156.862747,31232890364.82168,28644635970.407654,31232890364.82168,16479963333.333332,16479963333.333332,-0.08891851413445617,0.17824814113113885,11,2026-02-01,0.5065902508079699,0.4942519025205848,0.010216109227739934,0.566005440167168,0.03215273986109387,0.008355094071447496,0.19910786662583538,0.02422408879722519,0.8230902790630257,0.5552626887247459,0.18343585382899352,0.2032540125801856,1.0,0.2101307689430374,-0.6676419725857762,,6.8331993943627225,-0.016492026791469994,False,0.07335241491303925,0.5299003384519665,0,10,1579183000.0,1647996333.3333333,"min(depreciation & amortization, capex)",True,False,False,False,False,False,False,False,False,False,False,,0,,substitution risk unassessed (cannot be automated),0.17824814113113885,watch (needs price)
ESNT,5930958125.845642,-123049000.0,705427000.0,0.12145971720886534,0.045,0.1,8422190176.470589,13369279837.42585,12261374136.570744,13369279837.42585,7054270000.0,7054270000.0,-0.08385687701322014,0.15923857098670136,11,2025-12-31,0.16575502301948195,0.12734450257854835,-0.003929184283268553,,,,0.6777177253387368,0.11902589419633193,1.1238399607189733,0.1583507842764573,0.1356804127149518,0.05711895508446352,0.9,0.10095704423981089,-0.14311501283451444,26.136469292879863,6.663903381124509,0.008683834760369713,True,0.03095328844604168,-0.11541330693944407,7,10,689969000.0,705427000.0,"min(depreciation & amortization, capex)",True,False,False,False,False,False,False,False,False,False,False,,0,,substitution risk unassessed (cannot be automated),0.15923857098670136,watch (needs price)
IT,8920670058.13771,1259153000.0,1046378666.6666666,0.1027894748946737,0.045,0.1,11051184254.901962,19831009035.065582,18187622986.54014,19831009035.065582,10463786666.666666,10463786666.666666,-0.08077847152816625,0.1474721014185708,11,2025-12-31,0.4344789653324189,0.4892861619797767,0.012330947568577336,0.6877113401934918,0.03704243147857043,0.009941452077664718,0.15786906596753753,0.06518150882168781,1.5006300169286153,,0.11626169254443486,0.09648191203252598,0.9,-0.034371488045309206,1.0270248446191743,8.187544401606042,3.6014621800660938,-0.011709646603560664,False,0.12190110928666126,0.7061725002198576,0,10,814398000.0,1046378666.6666666,"min(depreciation & amortization, capex)",True,False,False,False,False,False,False,False,False,False,False,,0,,substitution risk unassessed (cannot be automated),0.1474721014185708,pass
G,4978406340.955524,688465000.0,571509333.3333334,0.1008509456007815,0.045,0.07516074348536095,6035174215.6862755,9727182161.776783,8915534041.337303,10607409616.589914,5715093333.333333,5715093333.333333,-0.0760018119635173,0.12890200551600361,11,2025-12-31,0.1553950718425321,0.17532324554352133,0.0035679545708547505,0.36044401845004576,0.018219032452582933,-0.003996522224688671,0.14768206093097888,0.012186750901927484,1.147070284455288,0.3094331069838507,0.07516074348536095,0.06490404965690044,1.0,0.05363774849504743,0.8386975345789975,10.204676532999619,3.634191620035776,-0.021327525633799138,False,0.14854718975640455,0.2074898212872358,9,9,552494000.0,571509333.3333334,"min(depreciation & amortization, capex)",True,False,False,False,False,False,False,False,False,False,False,,0,,substitution risk unassessed (cannot be automated),0.12890200551600361,pass
